id,row_type,name,aidlc_phase,cluster,description,general_steps,reasoning_model,tools_in_practice,common_pitfalls,ai_leverage,ai_opportunity,evidence,eval_coverage,regression_risk,safety_exposure,flywheel_linkage,maps_to_classic,phase_status
AT-49,net-new,Configure eval-gated CI,5-Delivery,Delivery & Release,"Block merges that drop eval scores below threshold via a CI gate.","Wire the eval suite to PRs|Set the thresholds|Fail the build on regression|Report which cases regressed|Require override sign-off","The eval is the unit test for non-deterministic systems; if it is not in CI, it is not a gate.","Braintrust GitHub Action|Promptfoo CI|GitHub Actions","Eval suite not in CI|thresholds too loose|silent overrides",autonomous,"Runs the eval gate automatically on every PR.","braintrust:eval-driven-development|pixelbank:edd",gated,high,med,none,net-new,now
AT-50,modify,Pin and version a model+prompt release bundle,5-Delivery,Delivery & Release,"Snapshot model id, prompt, tools, and config as one pinned, eval-scored release bundle.","Snapshot model id + prompt + tools + config|Record the eval scores|Tag the bundle|Link the rollback target","A model release is a bundle, not a model id; pin everything that affects behavior so you can roll back cleanly.","git|prompt registry|model gateway","Pinning only the model id|unversioned prompt/config|no recorded scores",copilot,"AI assembles + tags the bundle; PM confirms the release set.","braintrust:eval-driven-development|concept:grounded-data-analyst",gated,high,none,none,T-118,now
AT-51,modify,Plan a canary or shadow deployment for a model change,5-Delivery,Delivery & Release,"Plan a canary or shadow rollout for a model/prompt change with online scoring gates.","Choose shadow vs canary|Set traffic %|Wire online scorers|Define advance/hold/rollback criteria|Assign a monitor","A model change is a prod change; ramp it behind online evals, because offline scores never fully predict prod.","LaunchDarkly/Statsig|model gateway|online evals","Big-bang model swaps|no online scoring|no rollback trigger",copilot,"AI drafts the ramp + gates; PM/eng confirm before exposure.","braintrust:eval-driven-development|concept:llm-observability",gated,high,med,none,T-040,now
AT-52,modify,Online A/B a model or prompt change with quality and business guardrails,5-Delivery,Delivery & Release,"Run an online experiment on a model/prompt change against quality and business guardrails.","State the hypothesis|Define the online quality metric + guardrails|Compute power/sample size|Pre-set the ship rule|Read out vs criteria","Offline eval is necessary but not sufficient; the prod distribution decides, so confirm online before full rollout.","Statsig|Braintrust online|warehouse SQL","Shipping on offline scores alone|peeking|no guardrail metrics",copilot,"AI assembles the readout vs criteria; PM owns the ship/kill call.","braintrust:how-to-eval|pixelbank:edd",gated,high,med,none,T-037;T-069,now
AT-53,modify,Execute a model or prompt rollback on quality regression,5-Delivery,Delivery & Release,"Revert to the last-good bundle when online quality regresses.","Confirm the regression vs baseline|Select the last-good bundle|Revert|Verify recovery|Log + open a regression case","Reversible mitigation first; a clean pinned bundle makes rollback a one-click decision under pressure.","model gateway|flags|traces","No pinned last-good|slow rollback|no recovery verification",human-led,"AI detects the regression + prepares the revert; a human authorizes it.","braintrust:eval-driven-development|concept:llm-observability",gated,high,high,none,T-067,now
AT-54,modify,Release-readiness go/no-go on eval and safety gates,5-Delivery,Delivery & Release,"Make the ship call against eval, safety, cost, and rollback-readiness gates.","Confirm eval pass vs the bar|Confirm safety/red-team pass|Confirm rollback is ready|Confirm cost in budget|Record go/no-go","Ship only when the eval, the safety gate, and the rollback all hold; one unchecked critical gate is a no-go.","checklist|Braintrust|red-team report","Shipping without a safety pass|no rollback ready|overriding a failed gate",human-led,"AI assembles the gate status; the go/no-go call stays human.","braintrust:eval-driven-development|concept:grounded-data-analyst",gated,high,high,none,T-055,now
AT-55,net-new,Wire online scoring on production traffic,6-Measurement,Measurement & Monitoring,"Run scorers on a sample of live traffic to monitor quality continuously.","Pick online scorers|Set the sampling rate|Build dashboards|Set alert thresholds|Route low scores to triage","Offline evals catch known failures; online scoring catches the distribution shift you did not anticipate.","Braintrust online|Arize Phoenix|Langfuse","Offline-only evaluation|no sampling on prod|alert thresholds untuned",copilot,"AI scores prod samples continuously; PM tunes thresholds + routing.","braintrust:how-to-eval|concept:llm-observability",gated,med,med,consumer,net-new,now
AT-56,net-new,Monitor hallucination and groundedness rate,6-Measurement,Measurement & Monitoring,"Continuously measure whether outputs are grounded in sources (e.g., every number traces to a tool).","Define the groundedness check|Score a prod sample|Trend the rate|Alert on a rise|Route ungrounded cases to triage","Groundedness is the trust metric; for a grounded product, an ungrounded claim is a sev incident, not a quirk.","Arize Phoenix Evals|Ragas|custom grounding checks","No groundedness metric|trusting fluent output|ignoring slow drift",autonomous,"Runs unattended as a groundedness monitor with alerts.","arize:phoenix-evals|concept:grounded-data-analyst",gated,high,high,consumer,net-new,now
AT-57,modify,Detect quality or behavior drift vs baseline,6-Measurement,Measurement & Monitoring,"Flag when the system's behavior distribution drifts from its baseline.","Set the baseline|Score a rolling window|Flag drift|Segment where it concentrates|Open an RCA","Models drift even when you change nothing (provider updates, input shift); watch the distribution, not a point.","Arize Phoenix|Langfuse|warehouse SQL","Assuming a frozen model is stable|aggregate-only drift|no segmentation",copilot,"AI flags drift + segments it; PM judges whether it is real.","concept:llm-observability|braintrust:how-to-eval",partial,high,med,consumer,T-070;T-071,now
AT-58,modify,Cluster online failures into a triage queue,6-Measurement,Measurement & Monitoring,"Auto-score prod outputs, cluster the failures, and prioritize the queue.","Auto-score prod outputs|Sort by low score|Cluster failures|Prioritize by frequency x severity|Feed novel ones to the dataset","Failing prod outputs are the roadmap; cluster into patterns and grow the dataset from them.","Braintrust|LangSmith|Arize Phoenix","Reviewing one-by-one|ignoring novel modes|not feeding the dataset",copilot,"AI scores + clusters into a triage queue; PM prioritizes.","braintrust:eval-driven-development|aakashg:ankur-goyal",gated,med,med,producer,T-088,now
AT-59,modify,Build a cost/latency/quality dashboard and per-task cost,6-Measurement,Measurement & Monitoring,"Track tokens, cost, latency, and quality per task/run in one view.","Define the unit (per task/run)|Pull tokens+cost+latency+score|Trend them together|Set alerts|Tie spikes to changes","The three axes trade off; you cannot manage quality without seeing its cost and latency beside it.","Helicone|Datadog LLM Obs|Langfuse","Tracking cost without quality|no per-task unit|ignoring latency",copilot,"AI assembles the dashboard; PM reads the trade-offs.","concept:llm-observability|concept:grounded-data-analyst",partial,low,none,none,T-072,now
AT-60,net-new,Wire human feedback (thumbs/edits) into the flywheel,6-Measurement,Measurement & Monitoring,"Capture in-product thumbs and edits and route them to the dataset and triage.","Capture the feedback signal|Map it to traces|Route to the dataset|Close the loop to the user|Monitor signal volume","Human feedback is the cheapest label source; capture the edit, not just the thumbs, because the edit shows the fix.","in-app feedback|Datasets|tracing","Capturing thumbs but not edits|no trace linkage|never using the signal",copilot,"AI routes feedback to the dataset; PM designs the capture + loop.","braintrust:how-to-eval|concept:grounded-data-analyst",partial,med,med,producer,net-new,now
AT-61,modify,Investigate an eval-score regression (RCA),6-Measurement,Measurement & Monitoring,"Root-cause a drop in eval score: is it the model, the judge, the data, or a real regression?","Confirm it is real not judge-noise|Diff the changed component (prompt/model/retrieval/tool)|Timestamp-match to changes|Rank hypotheses|Write the verdict","A score drop has four suspects - model, judge, data, system; eliminate the judge first, because it is cheapest to be wrong.","Braintrust diff|traces|git log","Blaming the model when the judge drifted|correlation-as-cause|stopping at first hypothesis",copilot,"AI assembles the diff + timestamp-matched changes; PM confirms the cause.","braintrust:eval-driven-development|concept:llm-observability",partial,high,med,none,T-070,now
AT-62,modify,Reconcile the offline-eval vs online-quality gap,6-Measurement,Measurement & Monitoring,"Explain why offline eval scores and online quality disagree and fix the eval set.","Compare offline scores to online outcomes|Find the distribution shift|Identify missing cases|Add them to the eval set|Re-validate","When offline says good and prod says bad, the eval set is unrepresentative; the gap is a dataset bug, not a model bug.","Braintrust|warehouse SQL|tracing","Trusting offline over online|not updating the eval set|ignoring the shift",copilot,"AI quantifies the gap + proposes additions; PM curates the eval set.","braintrust:how-to-eval|pixelbank:edd",partial,high,med,producer,T-081,now
AT-63,net-new,Design a red-team campaign,X-Safety,"Safety, Red-teaming & Guardrails","Plan structured adversarial probing of the system against a threat model.","Define the threat model|Generate attack prompts|Run the campaign|Log breaks|Prioritize fixes + regression cases","You red-team so you find the jailbreak before users do; absence of a campaign is not absence of vulnerability.","garak|PyRIT|HarmBench|manual","No threat model|one-off probing|breaks logged but not fixed",human-led,"AI generates attacks + triages breaks; PM owns the threat model + priorities.","arxiv:llm-agent-eval-survey-2025|concept:agent-benchmarking",partial,med,high,producer,net-new,now
AT-64,net-new,Build and maintain a jailbreak and abuse eval corpus,X-Safety,"Safety, Red-teaming & Guardrails","Maintain a versioned corpus of jailbreaks and abuse cases to score model resistance.","Collect known jailbreaks|Categorize by attack type|Score model resistance|Add new attacks|Version","Jailbreak resistance is a measurable, regressable property; if it is not in an eval, it will silently regress.","garak|internal corpus|Lakera","Stale corpus|no categorization|treating safety as one-time",copilot,"AI scores resistance against the corpus; PM curates the attack set.","concept:agent-benchmarking|arxiv:llm-agent-eval-survey-2025",gated,high,high,producer,net-new,now
AT-65,modify,Spec guardrail policy and content filters,X-Safety,"Safety, Red-teaming & Guardrails","Define what the system must never do and the input/output filters that enforce it.","Define disallowed behaviors|Choose input/output filters|Set actions (block/redact/escalate)|Test against the abuse corpus|Document","Guardrails are policy made executable; the filter that is not tested against real attacks is decorative.","Llama Guard|NeMo Guardrails|OpenAI moderation|Guardrails AI","Policy with no enforcement|untested filters|over-blocking valid use",human-led,"AI drafts the policy + filter config; PM/safety own the policy.","arxiv:llm-agent-eval-survey-2025|concept:llm-observability",gated,high,high,none,T-033,now
AT-66,net-new,Calibrate refusal and over-refusal rate,X-Safety,"Safety, Red-teaming & Guardrails","Tune the system to block harmful requests without refusing valid ones.","Build a benign + harmful test set|Measure refuse rates on each|Tune the policy/prompt|Re-measure|Lock the trade-off","Over-refusal is a real product failure; safety and helpfulness trade off and the balance is a product call.","eval suite|Braintrust|Llama Guard","Optimizing harm-blocking only|ignoring over-refusal|no benign set",copilot,"AI measures both rates; PM owns the safety/helpfulness balance.","arxiv:llm-agent-eval-survey-2025|arize:phoenix-evals",gated,high,high,none,net-new,now
AT-67,modify,Triage a safety incident or harmful output,X-Safety,"Safety, Red-teaming & Guardrails","Run the PM side of a live safety incident: contain, communicate, and capture a regression.","Confirm scope + severity|Contain (filter/rollback)|Communicate to stakeholders|Postmortem|Add a regression case","Contain before you diagnose; a harmful output in prod is reversible only forward, via filter or rollback.","incident tooling|flags|traces","Slow containment|no comms|no regression case from the incident",human-led,"AI assembles impact + affected scope; a human owns containment + comms.","arxiv:llm-agent-eval-survey-2025|concept:grounded-data-analyst",partial,high,high,producer,T-060,now
AT-68,net-new,Run a pre-release safety eval gate,X-Safety,"Safety, Red-teaming & Guardrails","Block release on jailbreak, abuse, and PII-leak eval suites failing their floor.","Run jailbreak + abuse + PII suites|Compare to the safety floor|Block on fail|Require sign-off|Log","Safety is a release gate, not a launch-day checklist; a failed safety floor is a hard no-go.","garak|Lakera|Braintrust","Treating safety as advisory|no PII check|overriding a failed floor",human-led,"AI runs the suites; the gate decision stays human.","concept:agent-benchmarking|arxiv:llm-agent-eval-survey-2025",gated,high,high,none,net-new,now
AT-69,modify,Model portfolio build-vs-buy review,X-Inference-Econ,Inference Economics & Model Portfolio,"Decide which capabilities use which models - API, open-weight, or fine-tuned - with lock-in and data-rights weighed.","Map needs to models|Compare API vs open vs fine-tune|Assess lock-in + data rights|Estimate switching cost|Recommend the portfolio","Model choice is a portfolio decision with lock-in risk; do not single-source a capability you cannot switch.","vendor docs|eval data|spreadsheet","Single-vendor lock-in|ignoring data rights|choosing on hype",human-led,"AI assembles the comparison; PM owns the portfolio + lock-in call.","intuitionlabs:rlhf-platforms-2026|concept:agent-benchmarking",partial,med,med,none,T-119;T-093,now
AT-70,modify,Inference cost-per-task budget and unit economics,X-Inference-Econ,Inference Economics & Model Portfolio,"Model the unit economics of an AI feature: cost per task, margin, and the cost-quality frontier.","Define the task unit|Measure tokens x price + tool/infra cost|Model margin per task|Map the cost-quality frontier|Set the budget","For an AI product, inference is COGS; a feature that is loved and unprofitable per call is a problem, not a win.","Helicone|model gateway|spreadsheet","Ignoring per-task cost|no margin model|optimizing quality with no cost ceiling",copilot,"AI computes per-task cost + frontier; PM sets the budget.","concept:llm-observability|concept:grounded-data-analyst",partial,med,none,none,T-093;T-016,now
AT-71,modify,Eval roadmap tied to capability and eval gaps,X-Inference-Econ,Inference Economics & Model Portfolio,"Sequence which evals to build next, ranked by risk and use-case value.","Inventory eval gaps|Rank by risk x use-case value|Sequence the eval builds|Tie to capability bets|Publish","The eval roadmap is the product roadmap for an AI system; you can only build what you can grade.","Braintrust|roadmap tool","Building features ahead of their evals|no risk ranking|orphan evals",human-led,"AI proposes the sequencing from the gap map; PM owns priorities.","braintrust:evals-are-the-new-prd|pixelbank:edd",partial,med,med,none,T-090,now
AT-72,modify,"Data-rights, licensing, and privacy posture for training and traces",X-Inference-Econ,Inference Economics & Model Portfolio,"Set the policy for what data may be used for training/evals, with consent, licensing, and PII handled.","Inventory data sources|Check rights/consent/licensing|Classify PII|Set retention + access|Publish the policy","The flywheel's fuel is user data; using it without rights is a legal and trust failure that compounds.","DPA/legal|data catalog|consent records","Training on data without rights|no consent for trace reuse|PII in datasets",human-led,"AI inventories sources + flags risks; legal/PM own the posture.","intuitionlabs:rlhf-platforms-2026|concept:grounded-data-analyst",none,low,high,producer,T-048,now
AT-73,modify,Capability roadmap tied to eval gaps,X-Inference-Econ,Inference Economics & Model Portfolio,"Set the AI capability strategy: which bets to make, anchored to eval targets and capability deltas.","Synthesize eval gaps + capability deltas|Pick the bets|Tie each to an eval target|Sequence|Write the narrative","Strategy for an AI product is choosing which capabilities to grade-and-grow next; the insight stays human.","strategy doc|eval data","Capability bets with no eval target|chasing benchmarks not use cases|template strategy",human-led,"AI stress-tests the strategy; the differentiating bet stays human.","braintrust:evals-are-the-new-prd|concept:agent-benchmarking",partial,med,med,none,T-092;T-090,now
AT-74,modify,Design usage or token-based pricing for an AI product,H-Commercial,Commercial & Stakeholder,"Price an AI product so revenue tracks the inference cost it incurs.","Pick the value-aligned usage unit|Map unit to inference cost|Set price + included tier|Define overage + caps|Model margin + bill-shock risk","Price the unit that tracks both value and cost; flat pricing on metered COGS is how AI products lose money at scale.","Stripe|Metronome|spreadsheet","Flat price on metered cost|bill-shock risk|metering a non-value unit",copilot,"AI models the pricing scenarios; PM/finance own the call.","classic:T-041|classic:T-027|concept:usage-based-inference-pricing",none,low,none,none,T-041;T-027,now
AT-75,modify,Define AI feature tier-gating and rate limits,H-Commercial,Commercial & Stakeholder,"Decide which AI capabilities, quotas, and model tiers gate which plan.","List AI capabilities + their cost|Assign to tiers|Set per-tier rate limits/quotas|Gate premium models to higher tiers|Check competitive parity","Gate on cost and capability, not just features; rate limits are a margin control, not only a product one.","Stripe|product spec|spreadsheet","Gating table-stakes capability|no rate limits on costly models|quota mismatch with cost",copilot,"AI drafts the gating matrix; PM validates upgrade + margin logic.","classic:T-042|classic:O-PLG-010",none,low,none,none,T-042,now
AT-76,modify,Model the gross-margin impact of an AI feature,H-Commercial,Commercial & Stakeholder,"Project how an AI feature's inference COGS moves gross margin at scale.","Estimate per-use inference cost|Project usage distribution|Model COGS at scale|Run a cost-sensitivity range|Recommend with guardrails","Inference COGS scales with usage; a feature's margin can invert as it succeeds, so model the tail.","spreadsheet|Helicone|warehouse SQL","Ignoring COGS at scale|flat usage assumptions|no sensitivity on token growth",copilot,"AI builds the margin model; PM owns the assumptions.","classic:T-093|classic:T-136",none,low,none,none,T-093;T-136,now
AT-77,modify,Write a GTM or launch brief for an AI capability,H-Commercial,Commercial & Stakeholder,"Position and launch an AI capability around its evaluated capability, trust, and limits.","Set the launch tier|Write positioning around capability + trust|State the limits honestly|Plan enablement|Define launch + quality metrics","Sell the evaluated capability, not the hype; overclaiming an AI capability is a trust debt you pay in churn.","Notion|Braintrust (evidence)|marketing tools","Overclaiming capability|hiding limits|no eval evidence behind claims",copilot,"AI drafts positioning from eval evidence; PMM/PM own the message.","classic:T-045|braintrust:evals-are-the-new-prd",none,low,med,none,T-045,now
AT-78,modify,Triage sales and CS requests for the AI product,H-Commercial,Commercial & Stakeholder,"Triage field requests, separating the model cannot from we have not wired it.","Collect requests with context|Dedupe vs known asks|Classify model-limit vs product-gap|Weight by value|Route or decline with reason","For AI products, half of it does not work is a capability limit, not a backlog item; classify before committing.","Productboard|Salesforce|Slack","Promising capability the model lacks|treating limits as quick fixes|no reply to the field",copilot,"AI dedupes + classifies model-limit vs gap; PM owns commitments.","classic:T-066|classic:O-B2B-003",none,low,none,consumer,T-066,now
AT-79,modify,Build sales enablement for an AI feature,H-Commercial,Commercial & Stakeholder,"Equip the field to set accurate expectations about an AI feature's accuracy, limits, and guardrails.","Summarize what the feature does + its limits|Write the accuracy/trust talk track|Add objection handling (hallucination, data use)|Note guardrails|Distribute","The field will overpromise unless armed with the limits; expectation-setting is the enablement, not just the value pitch.","Notion|Slack|Gong","Value-only pitch with no limits|no objection handling on accuracy/data|stale claims",copilot,"AI drafts the enablement from spec + evals; PM/PMM confirm.","classic:T-129|classic:T-151",none,low,med,none,T-129;T-151,now
AT-80,modify,Run AI win-loss analysis,H-Commercial,Commercial & Stakeholder,"Analyze why deals were won/lost on AI-specific factors: accuracy, trust, hallucination, latency, cost.","Pull won/lost deals|Read notes for AI-specific reasons|Cluster trust/accuracy/latency/cost drivers|Weight by deal size|Tie to eval/roadmap","AI deals are won and lost on trust and reliability; recurring it hallucinated in the POC is roadmap signal.","Gong|Salesforce|Dovetail","Missing AI-trust loss reasons|anecdote over pattern|ignoring deal size",copilot,"AI clusters AI-specific win/loss drivers; PM validates causes.","classic:T-099|classic:O-B2B-009",none,low,med,consumer,T-099,now
AT-81,modify,Prepare an exec or board update on AI quality and economics,H-Commercial,Commercial & Stakeholder,"Brief leadership on eval trend, cost-per-task, safety posture, and the capability roadmap.","Lead with the eval-quality trend|Show cost/run + margin|Surface safety posture + incidents|Tie to the capability roadmap|Pre-empt the hard questions","For an AI product, the board cares about quality trend, unit economics, and safety exposure; show the eval curve, not feature counts.","Slides|Braintrust|spreadsheet","Feature-dump instead of quality/economics|hiding incidents|no eval trend",human-led,"AI drafts from eval + cost data; PM owns framing + the room.","classic:T-095|classic:T-103|braintrust:evals-are-the-new-prd",none,low,med,none,T-095;T-103,now
AT-82,modify,Respond to a why is the AI wrong escalation,H-Commercial,Commercial & Stakeholder,"Handle a stakeholder escalation about AI reliability by reframing expectations with evidence.","Acknowledge + get the specific case|Reproduce + classify the failure|Frame it vs the eval/groundedness data|Set realistic reliability expectations|Log + route the fix","Reframe from it is broken to here is the measured reliability and the fix path; non-determinism needs expectation-setting, not defensiveness.","Slack|traces|Braintrust","Defensiveness|over-promising perfection|no evidence in the reply",human-led,"AI assembles the repro + reliability evidence; PM owns the relationship-sensitive reply.","classic:T-094|classic:T-131",none,low,med,none,T-094;T-131,now
AT-83,modify,Author the AI trust and transparency narrative for buyers,H-Commercial,Commercial & Stakeholder,"Write the buyer-facing account of how the system is evaluated, grounded, and kept safe.","Inventory what buyers ask about AI|Describe the eval + grounding approach|Document data use + retention|State safety + human-oversight controls|Keep it current","Buyers now diligence AI trust like security; a clear transparency narrative deflects the AI questionnaire and accelerates deals.","trust center|Notion|Braintrust","Vague claims|overstating safety|stale artifacts",human-led,"AI drafts the narrative from eval/safety docs; PM/security approve publishing.","classic:O-B2B-013|braintrust:evals-are-the-new-prd",none,low,high,none,O-B2B-013,now
AT-84,modify,Build an AI adoption and engagement scorecard,H-Commercial,Commercial & Stakeholder,"Track adoption of the AI feature and the acceptance/edit rate of its outputs.","Define eligible users|Measure adoption + frequency|Measure acceptance/edit/override rate|Trend vs target|Segment by cohort","For AI features, the acceptance/edit rate is the truest adoption signal - it shows whether users trust the output.","Amplitude|warehouse SQL|in-app feedback","Counting usage not acceptance|ignoring edit rate|no target",copilot,"AI computes adoption + acceptance metrics; PM judges health.","classic:T-139|classic:T-074",partial,low,none,consumer,T-139;T-074,now
AT-85,modify,Handle AI data-use consent and disclosure in the product,H-Commercial,Commercial & Stakeholder,"Spec the in-product consent for using user data in the flywheel and disclosure of AI involvement.","Identify data-use + AI-disclosure points|Spec consent capture + storage|Spec AI-involvement disclosure|Cover opt-out|Review with legal","Consent for the flywheel and disclosure of AI are trust and compliance gates; a silent data-grab or hidden AI is a liability.","product spec|legal review|consent log","Training on data without consent|no AI disclosure|no opt-out",human-led,"AI drafts the consent/disclosure copy + flow; legal/PM own it.","classic:T-048|classic:O-FIN-010|intuitionlabs:rlhf-platforms-2026",none,low,high,producer,T-048;O-FIN-010,now
AT-86,modify,Competitive AI capability and pricing teardown,H-Commercial,Commercial & Stakeholder,"Compare competitors on both AI capability (via your evals) and pricing/packaging.","List competitors|Run their AI on your eval set|Capture their pricing + limits|Normalize for comparison|Flag capability + pricing gaps","Compare AI capability on your task and pricing on value; a competitor's leaderboard win may not survive your eval.","competitor access|Braintrust|spreadsheet","Comparing on public benchmarks|ignoring pricing model|stale capability read",copilot,"AI runs the teardown on your evals + tabulates pricing; PM judges the response.","classic:T-150|classic:T-007|concept:agent-benchmarking",gated,low,none,none,T-150;T-007,now
EVL-01,deepens,Verify trace instrumentation,6-Measurement,Measurement & Monitoring,"Confirm every run logs the fields needed to replay and score it: inputs, full output, tool calls, context, versions, and cost.","Audit a sample run|Check inputs + full output + tool calls + context + versions + cost are logged|Map fields to the gen_ai.* OTel convention|File instrumentation gaps","You cannot evaluate what you did not capture; a run that cannot be replayed and re-scored is invisible to the eval loop.","OpenTelemetry GenAI|Arize Phoenix|Langfuse","Logging the answer but not the tool calls|missing prompt/model versions|no cost capture|inventing a bespoke schema",autonomous,"Auto-audit a sample of runs against the required-field checklist and flag gaps.","playbook:AIDLC-production-evals|otel:genai-semconv",partial,low,med,producer,AT-48;AT-55,now
EVL-02,deepens,Pull a smart trace sample for review,2-Eval-Spec,Eval & Spec Definition (hub),"Assemble ~100 high-yield traces for review, biased to failures and outliers, not a random sample.","Choose the window|Bias to negative-feedback + outliers + known clusters|Stratify by segment|Export for review","Random sampling wastes review on the boring middle; a stratified, failure-biased sample is where the signal lives.","Langfuse|Arize Phoenix|notebook","Random sampling|ignoring negative feedback|no segment stratification|too-small a window",autonomous,"Auto-assemble a stratified, failure-biased sample for human review.","playbook:AIDLC-production-evals|hamel:llm-evals-faq",partial,low,med,consumer,AT-01,now
EVL-03,deepens,Run an open-coding pass,2-Eval-Spec,Eval & Spec Definition (hub),"Read each trace and write a free-text note on the first thing that went wrong, before any categories exist.","Read the full trace|Note the first upstream failure in free text (no categories)|Mark pass/fail|Save the note","Open coding is the irreducible look-at-your-data step; categories imposed too early blind you to the failure you did not expect.","custom annotation viewer|notebook","Imposing categories too early|noting the last error not the first|skimming instead of reading|delegating it to an LLM",human-led,"None for the coding itself - this is the human step; AI only assembles the trace and the viewer.","playbook:AIDLC-production-evals|hamel:llm-evals-faq",none,low,med,producer,AT-01,now
EVL-04,deepens,Axial-code notes into a failure taxonomy,2-Eval-Spec,Eval & Spec Definition (hub),"Cluster the open-coding notes into ~5-10 named, defined failure modes.","Gather all notes|LLM first-pass clustering|Human-validate the clusters|Write a one-line definition per mode","The taxonomy is the vocabulary the team argues in; the LLM proposes clusters, the human owns the names and boundaries.","notebook + LLM|spreadsheet","Too many modes|overlapping modes|accepting LLM clusters unvalidated|vague definitions",copilot,"AI proposes a first-pass clustering of notes; the human validates and names the modes.","playbook:AIDLC-production-evals|hamel:llm-evals-faq",partial,med,med,producer,AT-01;AT-06,now
EVL-05,deepens,Quantify failure rates and triage each mode,2-Eval-Spec,Eval & Spec Definition (hub),"Label all sampled traces against the taxonomy, count each mode, and decide fix vs assertion vs judge vs guardrail.","Label every trace vs the taxonomy|Count the rate per mode|Rank by frequency x severity|Assign each mode to fix / assertion / judge / guardrail","Counting turns anecdotes into priorities; the triage decision is what routes each mode into the rest of the loop.","spreadsheet|Braintrust|Langfuse","Acting on an un-counted anecdote|no severity weighting|every mode routed to fix|skipping the monitor decision",copilot,"AI labels traces against the taxonomy and tallies rates; PM owns the triage routing.","playbook:AIDLC-production-evals|hamel:llm-evals-faq",partial,med,med,producer,AT-01;AT-58,now
EVL-06,deepens,Build a from-prod failure dataset,2-Eval-Spec,Eval & Spec Definition (hub),"Turn confirmed production failures into a labeled, versioned dataset of eval cases.","One-click add failing traces|Attach the note + label|De-dup|Version and freeze the split","Confirmed failures are the highest-value eval cases; a frozen labeled split is what proves a fix and prevents the regression.","Braintrust Datasets|Langfuse Datasets","Unlabeled cases|duplicates inflating the set|leakage into training|an unfrozen split that drifts",copilot,"AI proposes additions from the triage queue; PM curates and labels.","playbook:AIDLC-production-evals|braintrust:eval-driven-development",partial,high,med,producer,AT-09;AT-17,now
EVL-07,deepens,Write a code or assertion grader,2-Eval-Spec,Eval & Spec Definition (hub),"Write a deterministic check for a code or structured output - schema, exact-match, execution, or tool-argument.","Pick one dimension|Write the check (schema/match/exec/tool-arg)|Unit-test the grader|Register it in the suite","Use code for what code can verify; a deterministic assertion is cheaper and more trustworthy than any judge.","Promptfoo|autoevals|Python","Using a judge where an assertion would do|lumping dimensions|an untested grader|no registration",copilot,"AI writes the assertion code from the dimension spec; PM verifies it checks the right thing.","playbook:AIDLC-production-evals|braintrust:how-to-eval",gated,med,none,producer,AT-10,now
EVL-08,deepens,Build and validate an LLM-judge,2-Eval-Spec,Eval & Spec Definition (hub),"Build a single-dimension LLM judge and validate it against human labels before trusting it.","Write the judge prompt + rubric (allow an Unknown verdict)|Collect 50-100 binary human labels|Split 75/25 train/test|Measure TPR/TNR on the held-out labels","Who validates the validators? A judge is untrusted until it agrees with humans; allowing Unknown stops it from guessing.","Braintrust|Arize Phoenix Evals|DeepEval","Trusting an unvalidated judge|no Unknown option|labeling and testing on the same data|a multi-dimension judge",copilot,"AI drafts the judge prompt; PM owns the labels and the TPR/TNR bar.","playbook:AIDLC-production-evals|hamel:llm-evals-faq",partial,high,med,producer,AT-11;AT-12,now
EVL-09,deepens,Recalibrate a judge against fresh labels,2-Eval-Spec,Eval & Spec Definition (hub),"Re-check an in-production judge against fresh human labels to catch judge-human drift.","Sample recent judged items|Re-label a gold subset|Recompute TPR/TNR or kappa|Adjust the judge prompt","A judge drifts as the input distribution moves; an uncalibrated judge silently stops measuring what you think.","Braintrust|Arize Phoenix|spreadsheet","Never recalibrating|too-small a gold subset|adjusting without re-measuring|ignoring the drift",copilot,"AI recomputes agreement and proposes prompt fixes; PM owns the fresh gold labels.","playbook:AIDLC-production-evals|braintrust:eval-driven-development",partial,high,med,producer,AT-12,now
EVL-10,deepens,Generate and validate structured synthetic data,2-Eval-Spec,Eval & Spec Definition (hub),"Bootstrap an eval set when no production data exists, then validate realism and leakage.","Define the input dimensions|Hand-write ~20 seed tuples|Two-step generate from the seeds|Validate realism + check leakage vs eval","Synthetic data unblocks a cold start, but unvalidated it is contamination; hand-write the seeds so the dimensions are real.","frontier model|dedup tools","No seed examples|mode-collapsed generations|leakage into the eval set|skipping the realism check",copilot,"AI generates from the seeds; PM validates realism and leakage.","playbook:AIDLC-production-evals|braintrust:how-to-eval",partial,high,med,producer,AT-46,now
EVL-11,deepens,Curate golden and adversarial sets; version splits,2-Eval-Spec,Eval & Spec Definition (hub),"Maintain the stable golden bar plus an adversarial/incident-repro set, with versioned splits.","Sample representative + hard cases|Minimize incident repros into cases|Label the expected behavior|Freeze the versioned split","The golden set is the stable bar; the adversarial set is the immune memory; both must be frozen to stay comparable.","Braintrust/Langfuse Datasets|Promptfoo","Mixing golden and adversarial|unfrozen splits|no incident repros|leakage",copilot,"AI proposes candidate cases; PM curates the golden and adversarial splits.","playbook:AIDLC-production-evals|braintrust:eval-driven-development",partial,high,med,producer,AT-09;AT-17,now
